Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Identifiant SWIFT;Non renseigné;"Identifiant, autre que l'Identifiant tiers, permettant de reconnaître le tiers 
Il peut s'agir d'identifiants internes ou externes";Tiers;SWIFT Id;TEC_PARTY;SWFT_ID
Périmètre du flux;Non renseigné;Non renseigné;Paliers;Flow Scope Cd;TEC_SCHEDULE_STAGE;FLOW_SCOPE
Montant ICNE - crédit;Non renseigné;Non renseigné;Contrats;Credit Accrued Interest Not Due Amt;TEC_CONTRACT;CR_ACRUD_INT_NOT_DUE_AMT
Sortie du risque pays;Non renseigné;Correspond au niveau de risque auquel le risque pays est déplacé du fait de la mise en place de la garantie (garant d'un pays autre que l'emprunteur).;Garanties reçues;Country Risk Exit Ind;TEC_RECEIVED_GUARANTEE;CTRY_RISK_EXIT_IND
Adresse : département/division administrative (NUTS);Non renseigné;Permet d'identifier le département du tiers;Tiers;Department Cd;TEC_PARTY;DEPT_CD
Valeur critères agrégation;Non renseigné;Ce champ permet de remonter les critères complémentaires d'agrégation;Contrats;Pooling Criteria Val;TEC_CONTRACT;POOLG_CRITRA_VAL
Référence du contrat;Non renseigné;"Cette information permettra de rapprocher les informations fournies par les filiales avec celles issues des Caisses régionales.
C'est l'identifiant du prêt donné par la filiale gestionnaire (BFT, CACIB, SOFINCO...).";Paliers;External Agreement Id;TEC_SCHEDULE_STAGE;EXTR_AGMT_ID
Montant ICTM (euro);Non renseigné;Montant des indemnités Compensatrices de Taux Moyen;Contrats;Balancing Adjustment Average Rate Euro Amt;TEC_CONTRACT;BLNCG_ADJSTMT_AVG_RATE_EURO_AMT
Identifiant technique d'échange de l'engagement;Non renseigné;Identifiant technique d'échange de l'engagement sur lequel s'adosse l'échéancier explicite;Echéanciers;Host Contract Id;TEC_SCHEDULE;HOST_CNTRCT_ID
Montant nominal (euro);Non renseigné;Non renseigné;Contrats;Notional Euro Amt;TEC_CONTRACT;NOTL_EURO_AMT
Identifiant National;Non renseigné;"Identifiant, autre que l'Identifiant tiers, permettant de reconnaître le tiers 
Il peut s'agir d'identifiants internes ou externes";Tiers;National Id;TEC_PARTY;NATL_ID
Numéro de compte local (PCI) de l'encours;Non renseigné;Compte comptable local de l'encours  (NF ou locale);Contrats;Outstanding Amt COAI Cd;TEC_CONTRACT;OUTST_AMT_COAI_CD
Devise intérêt;Non renseigné;Devise des intérêts dus;Echéanciers;Interest Currency Cd;TEC_SCHEDULE;INT_CURY_CD
Note Long Terme Moody's;Non renseigné;Cotation externes (selon la nomenclature de l'organisme);Tiers;External Rating Moody's Long Term Grade Val;TEC_PARTY;EXTR_RTG_MOODY_S_LONG_TERM_GRADE_VAL
Valeur unitaire de rachat (euro);Non renseigné;Valeur d'une unité du Security au moment du rachat;Contrats;Repurchase Security Unitary Euro Amt;TEC_CONTRACT;RPRCH_SCURTY_UNITRY_EURO_AMT
Devise prix nominal unitaire du titre;Non renseigné;Devise dans laquelle le contrat a été signé/code devise du prix Nominale unitaire du titre;Contrats;Security Unitary Nominal Amt Currency Cd;TEC_CONTRACT;SCURTY_UNITRY_NMNL_AMT_CURY_CD
Taux d' intérêt effectif à l'origine;Non renseigné;Non renseigné;Contrats;Original Effective Interest Rate;TEC_CONTRACT;ORIGNL_EFF_INT_RATE
Rates d'avance en cours;Non renseigné;"Avant janvier 2004, pour les prêts sur avance, c’est le Rates des avances traditionnelles (prêts par prêts). Depuis janvier 2004, il a été remplacé par un Rates théorique initial (TATI)
Le TATi (Rates de l’Avance Théorique Initial) est exprimé en Rates proportionnel (la périodicité de l’avance correspondante, dépendant de la périodicité de paiement des intérêts)";Contrats;Ongoing Advance Rate;TEC_CONTRACT;ONGOING_ADVNC_RATE
Date valeur;Non renseigné;Date de valeur;Contrats;Value Dt;TEC_CONTRACT;VAL_DT
Devise d'origine du contrat;Non renseigné;Devise de montant du contrat à l'origine (LC.0005);Contrats;Agreement Initial Currency Cd;TEC_CONTRACT;AGMT_INIT_CURY_CD
Pays Tiers initial;Non renseigné;Pays du Tiers initial;"Tranches ""OMP""";Original Counterparty Country Cd;TEC_IFRS9_TRANCHE;ORIGNL_CNTPTY_CTRY_CD
Montant capital amorti échéance;Non renseigné;Montant du capital amorti de l'échéance en devise d'origine;Echéanciers;Schedule Amortized Capital Amt;TEC_SCHEDULE;SCHD_AMRTZD_CPTL_AMT
Référence locale contrat;Non renseigné;Référence unique du contrat dans le système de gestion local de l'entité remettante;Garanties reçues;Host Agreement Num;TEC_RECEIVED_GUARANTEE;HOST_AGMT_NUM
Montant découvert;Non renseigné;Montant du découvert;"Tranches ""OMP""";Overdraft Balance Amt;TEC_IFRS9_TRANCHE;OVRDRFT_BAL_AMT
Devise montant notionnel jambe vendue;Non renseigné;Devise du montant du notionnel de la jambe vendue;Contrats;Sell Leg Nominal Amt Currency Cd;TEC_CONTRACT;SEL_LEG_NMNL_AMT_CURY_CD
Devise montant de l'échéance;Non renseigné;Devise du montant de l'échéance;Paliers;Payment Currency Cd;TEC_SCHEDULE_STAGE;PMT_CURY_CD
Encours à Date d'arrêté;Non renseigné;Encours en date d’opération en devise d’origine;Contrats;Operation Date Outstanding Amt;TEC_CONTRACT;OPRTN_DT_OUTST_AMT
Périodicité de l'abonnement;Non renseigné;Périodicité de l'abonnement;Contrats;Planned Payment Periodicity Cd;TEC_CONTRACT;PLND_PMT_PERIODCITY_CD
Seuil de refixing;Non renseigné;Pourcentage de variation de l'index à partir duquel il sera revu conformément aux caractéristiques du contract.;Contrats;Refixing Threshold Rate;TEC_CONTRACT;REFIXG_THRSH_RATE
Pays location actif;Non renseigné;"Localisation (pays) de l’actif
";Garanties reçues;Location Country Cd;TEC_RECEIVED_GUARANTEE;LOC_CTRY_CD
Note NCF;Non renseigné;"Note attribuée par le système interne/local  de notation de l'entité
Il peut s'agir aussi d'un GRADE (regroupement de notes)";Tiers;Final Calculated Rating Grade Val;TEC_PARTY;FNL_CALCD_RTG_GRADE_VAL
Séniorité tranche vehicule;Non renseigné;Séniorité de la tranche sous-jacente à l’opération.;Autorisation;Securitization Tranche Seniority Level Cd;TEC_AUTORIZATION;SCURTZN_TRNCH_SRY_LVL_CD
Montant réaménagement sur le mois;Non renseigné;Montant du réaménagement sur le mois en devise d'origine;Contrats;Month Modification Amt;TEC_CONTRACT;MTH_MODFN_AMT
Code isin sous-jacent;Non renseigné;Référence du titre sous-jacent;Garanties reçues;ISIN Cd;TEC_RECEIVED_GUARANTEE;ISIN_CD
Identifiant taker;Non renseigné;Identifiant du taker;"Tranches ""OMP""";Taker Id;TEC_IFRS9_TRANCHE;TAKR_ID
Date acquisition dernière part;Non renseigné;Permet d'identifier les engagements (OPC) bénéficiant de la clause de Grandfathering. Spécifique grands risques;Contrats;Last Part Acquisition Dt;TEC_CONTRACT;LAST_PRT_ACQ_DT
Montant Coupons courus non échus (cessions tempo. de titres) - Jambe prêt.;Non renseigné;Signe du montant, partie entière, partie décimale;Contrats;Lending Leg Non Expired Coupon Amt;TEC_CONTRACT;LENDG_LEG_NON_EXPRD_COUPN_AMT
Devise décote restructuration restant à étaler;Non renseigné;"Devise de ""décote restructuration restant à étaler""";Contrats;Restructuring Haircut Fr Amt Currency Cd;TEC_CONTRACT;RESTRUCTURING_HRCT_FR_AMT_CURY_CD
Montant Chiffre d'Affaires (euro);Non renseigné;Chiffre d'Affaires utilisé pour la notation en contrevaleur euros;Tiers;Unit Turnover Euro Amt;TEC_PARTY;UNIT_TRNVR_EURO_AMT
Indicateur prise en compte garantie personnelle niveau 4;Non renseigné;Flag prise en compte de gar. personnelle niv. 4;"Tranches ""OMP""";Third Party Garantee Level 4 Consideration Ind;TEC_IFRS9_TRANCHE;THIRD_PRTY_GARANTEE_LVL_4_CNSDRTN_IND
Taux marge additive;Non renseigné;"Taux de marge en complément de l’indice de référence.
Marge à ajouter à l'index pour obtenir le taux d'intérêt ; peut être négative ou positive. Par exemple : taux d'intêret =  taux du palier + marge additive (E0).";Contrats;Additive Margin Rate;TEC_CONTRACT;ADITV_MRGN_RATE
Montant Part en trésorerie tranche en cours (euro);Non renseigné;Montant de Part en trésorerie de l'entité pour la tranche en cours, en contrevaleur euro;Autorisation;Current Tranche Cash Part Euro Amt;TEC_AUTORIZATION;CUR_TRNCH_CSH_PRT_EURO_AMT
Montant Provision affecté à Encours sur tiers en défaut - niveau 1;Non renseigné;Non renseigné;"Tranches ""OMP""";Provision On Default Third Party Level 1 Amt;TEC_IFRS9_TRANCHE;PRVSN_ON_DFLT_THIRD_PRTY_LVL_CROS_DK_AMT
Sous-type contrat;Non renseigné;"Permet d'identifier le sous-type du contrat
S'il y a lieu, à chaque sous-type correspond une table fille ans le modèle de données de la Zone de Partage
Ex : Exposition (E), Réduction du risque (R)";Garanties reçues;Agreement Subtype Cd;TEC_RECEIVED_GUARANTEE;AGMT_SBTYPE_CD
Valeur index prochaine période;Non renseigné;Valeur de l'index de référence qui servira au calcul du taux de la période suivant la période en cours. Elle peut être renseignée pour un crédit dont le mode d'utilisation de l'index est post fixé si elle est connue à la date d'arrêté.;Contrats;Next Period Rate Index Val;TEC_CONTRACT;NXT_PRD_RATE_INDX_VAL
Option de RA applicable;Non renseigné;Indique si l'option de RA est applicable au contrat;Contrats;Early Withdrawal Option Ind;TEC_CONTRACT;EARLY_WDRWL_OPTN_IND
Montant nominal;Non renseigné;Montant du nominal;Contrats;Notional Amt;TEC_CONTRACT;NOTL_AMT
Date de rachat;Non renseigné;Non renseigné;Contrats;Repurchase Security Dt;TEC_CONTRACT;RPRCH_SCURTY_DT
Indicateur sûreté réelle;Non renseigné;Indicateur de sûreté réelle;"Tranches ""OMP""";Collateral ind;TEC_IFRS9_TRANCHE;CLTRL_IND
Montant LTI  revalorisé  (euro);Non renseigné;Loan to income revalorisé  en contrevaleur euros;Tiers;Revalued Loan To Income Euro Amt;TEC_PARTY;RVALD_LOAN_TO_INCM_EURO_AMT
Montant comptable  (devise) (French GAAP);Non renseigné;Montant nominal + ICNE - Dépréciation;Contrats;Fr GAAP Accounting Amt;TEC_CONTRACT;FR_GAAP_ACCNTG_AMT
Montant premier déblocage de fond;Non renseigné;Montant du premier déblocage de fond;Contrats;Current Schedule Stage Amt;TEC_CONTRACT;CUR_SCHD_STGE_AMT
Nature opération;Non renseigné;"Correspond à la classification de l'encours selon la nomenclature Groupe CA NATO commune aux Risques et à la Comptabilité.
Il s'agit ici de la NATure d'Opération telle que déterminée et employée par l'entité dans son rapprochement comptabilité/risques.";Contrats;Operation Nature Cd;TEC_CONTRACT;OPRTN_NATR_CD
Catégorie de prêt;Non renseigné;"Indique les caractéristique du prêt (court, moyen, long terme)
Permet de gérer les contracts pour la loi Scrivener, complété par la loi Neiertz, relatant de l'offre, la durée des prêts.";Contrats;Credit Category Cd;TEC_CONTRACT;CR_CTGY_CD
Date entrée créance période purgatoire;Non renseigné;Date d’entrée de la créance FORBORN en  «purgatoire». (correspond au dernier changement de statut);Contrats;Purgatory Period Start Dt;TEC_CONTRACT;PRGTR_PRD_STRT_DT
Nationalité emetteur;Non renseigné;Nationalité de la société émettrice des titres.;Garanties reçues;Issuer Nationality Cd;TEC_RECEIVED_GUARANTEE;ISSUR_NTLTY_CD
Application Finance;Non renseigné;Code de l'application émettrice spécifique à PALMA;Echéanciers;Finance Application Cd;TEC_SCHEDULE;FINC_APLCTN_CD
Montant Coupons courus non échus (cessions tempo. de titres) - Jambe prêt. (euro);Non renseigné;Non renseigné;Contrats;Lending Leg Non Expired Coupon Euro Amt;TEC_CONTRACT;LENDG_LEG_NON_EXPRD_COUPN_EURO_AMT
Valeur de l'IPC à la date de valeur;Non renseigné;Valeur de l'indice des prix à la consommation à la date de valeur. Concerne les titres indexés sur l'inflation;Contrats;CPI Val;TEC_CONTRACT;CPI_VAL
Semestre;Non renseigné;Non renseigné;Arrêtés;Semester Cd;TEC_STATEMENT_DATE;SEMESTER_CD
Montant Intérêts restant dûs en arriéré;Non renseigné;Montant des intérêts restant dûs en arriéré de paiement;Contrats;Unpaid Drawn Interest Outstanding Amt;TEC_CONTRACT;UNPD_DRWN_INT_OUTST_AMT
Référence du contrat;Non renseigné;"Cette information permettra de rapprocher les informations fournies par les filiales avec celles issues des Caisses régionales.
C'est l'identifiant du prêt donné par la filiale gestionnaire (BFT, CACIB, SOFINCO...).";Contrats;External Agreement Id;TEC_CONTRACT;CUR_EXTR_AGMT_ID
Indice;Non renseigné;Code de l'indice.;Garanties reçues;Index Cd;TEC_RECEIVED_GUARANTEE;INDX_CD
Devise montant capital restant dû avant l'échéance;Non renseigné;Non renseigné;Echéanciers;Before Schedule Outstanding Currency Cd;TEC_SCHEDULE;BEF_SCHD_OUTST_CURY_CD
Type de cotation;Non renseigné;Type de cotation Clean/Dirty;Contrats;Quotation Type Cd;TEC_CONTRACT;QUOTN_TYPE_CD
Base calcul intérêts;Non renseigné;Base de calcul des intérêts;Paliers;Interest Calculation Basis Cd;TEC_SCHEDULE_STAGE;INT_CALCN_BSS_CD
Identifiant central véhicule de titrisation;Non renseigné;Identifiant du véhicule de titrisation dans le SI DRG (i.e identifiant central Ricos).;Autorisation;Special Purpose Vehicle Central Id;TEC_AUTORIZATION;SPL_PRPS_VEH_CENTRL_ID
Devise Montant indemnité de résiliation;Non renseigné;Devise du montant montant de l'indemnité de résiliation;Contrats;Termination Comp Amt Currency Cd;TEC_CONTRACT;TRMTN_COMP_AMT_CURY_CD
Devise commissions restantes dûes;Non renseigné;Devise d'expression des commissions d’engagement restantes dûes;Contrats;Commission Outsanding Amt Currency Cd;TEC_CONTRACT;COMS_OUTSANDING_AMT_CURY_CD
Devise montant assiette réglementaire calculée en local;Non renseigné;Devise du montant de l’assiette réglementaire calculée en local;Contrats;Local Calculated Regulatory Base Amt Currency Cd;TEC_CONTRACT;LOCL_CALCD_RGLTRY_BASE_AMT_CURY_CD
Périodicité revalorisation sûreté;Non renseigné;Correspond au nombre de jours définissant la périodicité avec laquelle la valeur de la sûreté est ré estimée.;Garanties reçues;Revaluation Periodicity Cd;TEC_RECEIVED_GUARANTEE;RVALUT_PERIODCITY_CD
Montant nominal EPS (euro);Non renseigné;Montant nominal de l'engagement par signature en euros;"Tranches ""OMP""";Letter Of Credit Nominal Euro Amt;TEC_IFRS9_TRANCHE;LTR_OF_CR_NMNL_EURO_AMT
Devise du montant de l'option;Non renseigné;Non renseigné;Contrats;Option Amt Currency Cd;TEC_CONTRACT;OPTN_AMT_CURY_CD
Nombre lignes de provision liées à ligne d'auto.;Non renseigné;Nombre de lignes de provision liées à la ligne d'autorisation;Lignes d'autorisation;Calculated Depreciation Nb;TEC_AUTORIZATION_LINE;CALCD_DPRCTN_NB
Date premier déblocage fond;Non renseigné;Date du premier déblocage de fond;Contrats;First Funds Release Dt;TEC_CONTRACT;FRST_FUNDS_RLEAS_DT
Indicateur portabilité actif;Non renseigné;Indicateur de portabilité de l’actif en cas de défaut d’un membre compensateur (CCP) spécifique familles de risque TRE203/205/206/207;Contrats;Asset Portability Ind;TEC_CONTRACT;ASSET_PORTABL_IND
Ligne Métier;Non renseigné;Classification de l'opération selon la ligne Métier.;Contrats;Business Line Cd;TEC_CONTRACT;BUSN_LN_CD
Montant provision - arrêté comptable précédent (euro);Non renseigné;Non renseigné;Provisions;Previous Accounting Period Depreciation Euro Amt;TEC_DEPRECIATION;PREV_ACCNTG_PRD_DPRCTN_EURO_AMT
Type agrégation;Non renseigné;Définit le type d'agrégation (agrégation de tiers retail unitaires, agrégation de garants...);Tiers;Pooling Type Cd;TEC_PARTY;POOLG_TYPE_CD
Identifiant ZP du contrat;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Contrats;Contract Id;TEC_CONTRACT;CNTRCT_ID
Montant acquisition initial unitaire;Non renseigné;Montant d'acquisition initial unitaire.;Contrats;Original Unitary Acquisition Amt;TEC_CONTRACT;ORIGNL_UNITRY_ACQ_AMT
Code échelon qualité sous-jacent - Jambe empr.;Non renseigné;Correspond à l'échelon de qualité de crédit des titres;Contrats;Borrowing Leg Investment Product Credit Quality Cd;TEC_CONTRACT;BORWG_LEG_INVSTMT_PROD_CR_QLTY_CD
Montant valeur estimée bien loué fin période;Non renseigné;Montant de la Valeur estimé en fin de période du bien loué;"Tranches ""OMP""";Agmt Asset Lease Residual Amt;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEAS_RSDUL_AMT
Date statut tiers;Non renseigné;Date à laquelle le statut d'activité a évolué;Tiers;Party Status Dt;TEC_PARTY;PRTY_STS_DT
Montant tranche niveau 4;Non renseigné;Montant Tranche – niveau 4;"Tranches ""OMP""";Tranche Level 3 Amt;TEC_IFRS9_TRANCHE;TRNCH_LVL_3_AMT
Méthodologie de notation de l'encours;Non renseigné;Code de la méthodologie utilisée pour la notation d'un encours;Contrats;Outstanding Rating Method Cd;TEC_CONTRACT;OUTST_RTG_METH_CD
Montant exposition encours (euro);Non renseigné;Montant signé de l'exposition de l'encours en euros;"Tranches ""OMP""";Exposure Euro Amt;TEC_IFRS9_TRANCHE;EXPSR_EURO_AMT
Type identification Valeurs mobilières - Jambe empr.;Non renseigné;Permet de connaître le type d'identifiant  du titre renseigné dans la référence du titre sous-jacent de la  jambe emprunteuse -besoin asset encumbarnce;Contrats;Borrowing Leg Security Identification Type Cd;TEC_CONTRACT;BORWG_LEG_SCURTY_IDNTFTN_TYPE_CD
Devise montant ICNE - crédit;Non renseigné;vient de depo;Contrats;Credit Accrued Interest Not Due Amt Currency Cd;TEC_CONTRACT;CR_ACRUD_INT_NOT_DUE_AMT_CURY_CD
Devise montant nominal des titres reçus en garantie;Non renseigné;Devise du montant nominal des titres reçus en garantie;Garanties reçues;Received Collateral Investment Product Nominal Amt Currency Cd;TEC_RECEIVED_GUARANTEE;RECVD_CLTRL_INVSTMT_PROD_NMNL_AMT_CURY_CD
Information complémentaire nature juridique 3;Non renseigné;Précisions qualitatives supplémentaires sur le sous-jacent du FRR affinant l'information remontée en M1 5.3.;Garanties reçues;Legal Nature Additional Information 3 Cd;TEC_RECEIVED_GUARANTEE;LEGL_NATR_ADDL_INFOMTN_3_CD
Identifiant technique d'échange de l'engagement;Non renseigné;Identifiant technique d'échange de l'engagement sur lequel s'adosse le palier;Paliers;Host Contract Id;TEC_SCHEDULE_STAGE;HOST_CNTRCT_ID
Evénement crédit;Non renseigné;Indique le fait générateur du crédit.;Contrats;Credit Event Cd;TEC_CONTRACT;CR_EV_CD
Taux de la prime;Non renseigné;Taux de la prime d'Etat for les PEL/CEL;Contrats;Government Premium Rate;TEC_CONTRACT;GOVT_PREM_RATE
Maturité de l'index en début de contrat;Non renseigné;Non renseigné;Contrats;Initial Index Maturity Num;TEC_CONTRACT;INIT_INDX_MATURTY_NUM
Base de calcul des intérêts payés;Non renseigné;Base de calcul des intérêts payés;Contrats;Paid Interest Calculation Basis Cd;TEC_CONTRACT;PD_INT_CALCN_BSS_CD
Devise montant MTM part non libérée;Non renseigné;Devise du montant du MTM Pied de coupon;Contrats;Unpaid Portion MtM Amt Currency Cd;TEC_CONTRACT;UNPD_PORTN_MTM_AMT_CURY_CD
Montant Provision affecté à Encours sur tiers en défaut - niveau 4;Non renseigné;Non renseigné;"Tranches ""OMP""";Provision On Default Third Party Level 4 Amt;TEC_IFRS9_TRANCHE;PRVSN_ON_DFLT_THIRD_PRTY_LVL_4_AMT
TCI Composante Liquidité;Non renseigné;Non renseigné;Contrats;Internal Transfert Price - Liquidity Component Rate;TEC_CONTRACT;INTRNL_TFRT_PRC_LQDTY_COMPT_RATE
Date prochaine révision autorisation;Non renseigné;Date à laquelle est prévue la prochaine révision de l'autorisation.;Autorisation;Agreement Next Revision Dt;TEC_AUTORIZATION;AGMT_NXT_RVSN_DT
Source;Non renseigné;Code du système opérationnel de gestion ou système remettant de l'objet métier;Contrats;Source Cd;TEC_CONTRACT;SRC_CD
Date de fin d’option 1;Non renseigné;Date de fin d'option 1;Contrats;Option 1 End Dt;TEC_CONTRACT;OPTN_1_END_DT
Identifiant Palier;Non renseigné;"Permet d'identifiant de manière unique l'échéancier dans le système Zone de Partage
Notion purement technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Paliers;Schedule Stage Id;TEC_SCHEDULE_STAGE;SCHD_STGE_ID
Référence externe du contrat (référence filiale);Non renseigné;"Cette information permettra de rapprocher les informations fournies par les filiales avec celles issues des Caisses régionales.
C'est l'identifiant du prêt donné par la filiale gestionnaire (BFT, CACIB, SOFINCO...).";Echéanciers;External Agreement Id;TEC_SCHEDULE;EXTR_AGMT_ID
Coupon couru;Non renseigné;Permettre de déterminer le montant du coupon couru à l'achat pour affectaction dans le PNB. Besoin selon la modalité de calcul dans RCO.;Contrats;Non Expired Coupon Euro Amt;TEC_CONTRACT;NON_EXPRD_COUPN_EURO_AMT
Durée restant à courir en jours;Non renseigné;Durée restant à courir en jours;Contrats;Remaining Period Num;TEC_CONTRACT;RMNG_PRD_NUM
Date de fin de la période;Non renseigné;Date de la fin de la période de calcul d'intérêts;Echéanciers;Schedule End Dt;TEC_SCHEDULE;SCHD_END_DT
Modalité de remboursement de la créance;Non renseigné;Modalité de remboursement de la créance : terme échu / terme à échoir;Contrats;Reimbursement Method Cd;TEC_CONTRACT;RIMRS_METH_CD
Entité rattachée au Tiers - Jambe emprunteuse;Non renseigné;Entité rattachée au Tiers - Jambe emprunteuse;Contrats;Borrowing Leg Issuer Party Entity Id;TEC_CONTRACT;BORWG_LEG_ISSUR_PRTY_ENT_ID
Date d'exercice;Non renseigné;Non renseigné;Contrats;Exercise Start Dt;TEC_CONTRACT;EXRCS_STRT_DT
Catégorie Contrepartie tiers fournisseur sûreté;Non renseigné;Catégorie de contrepartie tiers fournisseur sûreté (information garantie réelle);"Tranches ""OMP""";Guarantee Supplier Counterparty Category Cd;TEC_IFRS9_TRANCHE;GUAR_SPLR_CNTPTY_CTGY_CD
Valeur de la Surcote/Décote;Non renseigné;Valeur de la Surcote/Décote de la position. Obligatoire pour CAsa;Contrats;Overprice / Drop In Value Amt;TEC_CONTRACT;OVRPRC_DRP_IN_VAL_AMT
Méthode ifrs9 - CCF;Non renseigné;Clé d'appariemment avec les courbes de CCF du référentiel ifrs9;Contrats;CCF IFRS9 Methodology Cd;TEC_CONTRACT;CCF_IFRS9_METHDGY_CD
Prix exercice taux;Non renseigné;Prix d'exercice en taux;Contrats;Exercise Price Rate;TEC_CONTRACT;EXRCS_PRC_RATE
Indicateur indice cotation bâlois;Non renseigné;Indicateur 'Indice de Cotation Bâlois';Garanties reçues;Basel Rating Index Ind;TEC_RECEIVED_GUARANTEE;BSL_RTG_INDX_IND
Montant résultat net retraite;Non renseigné;Résultat net retraité en unite d’euros;Tiers;Reworked Net Profit Amt;TEC_PARTY;RWORKED_NP_AMT
Identifiant tranche bâloise;Non renseigné;Identifiant technique permettant d'identifier de façon unique les tranches;"Tranches ""OMP""";Tranche Id;TEC_IFRS9_TRANCHE;TRNCH_ID
NATure d'Opération (NATO) détaillée;Non renseigné;NATO, mode de regroupement les opérations par nature comptable homogène, permettant de réaliser des rapprochements entre agrégats risques et comptables.;Contrats;Operation Nature Lb;TEC_CONTRACT;OPRTN_NATR_LB
Technique de crédit;Non renseigné;Technique de crédit;Contrats;Credit Technics Cd;TEC_CONTRACT;CR_TECHNICS_CD
Montant Provision affecté à Encours sur tiers en défaut - niveau 3;Non renseigné;Non renseigné;"Tranches ""OMP""";Provision On Default Third Party Level 3 Amt;TEC_IFRS9_TRANCHE;PRVSN_ON_DFLT_THIRD_PRTY_LVL_3_AMT
Traitement prudentiel titres créances subordonnées;Non renseigné;Indicateur permettant de préciser s’il s’agit de titres ou créances subordonnées à traiter en quasi-fonds propres (déduction possible au numérateur).;Contrats;Possible Numerator Deduction Ind;TEC_CONTRACT;POSBL_NUMTR_DEDCTN_IND
Montant intérêts restants dûs;Non renseigné;Montant des intérêts restants dûs;Contrats;Interest Outstanding Amt;TEC_CONTRACT;INT_OUTST_AMT
Taux PD tranche niveau 4;Non renseigné;PD de la tranche de niveau 4;"Tranches ""OMP""";PD Level 4 Rate;TEC_IFRS9_TRANCHE;PD_LVL_4_RATE
Date signature contrat;Non renseigné;Date de signature du contrat entre les partis;Contrats;Agreement Signed Dt;TEC_CONTRACT;AGMT_SIGND_DT
Montant intérêts restants dûs (euros);Non renseigné;Non renseigné;Contrats;Interest Outstanding Euro Amt;TEC_CONTRACT;INT_OUTST_EURO_AMT
Montant Total Bilan retraité en euro (euro);Non renseigné;Total Bilan retraité en unité d’euros.;Tiers;Reworked Balance Sheet Euro Amt;TEC_PARTY;RWORKED_BAL_SHET_EURO_AMT
Identifiant taux payé;Non renseigné;Référence du taux payé;Contrats;Paid Rate Id;TEC_CONTRACT;PD_RATE_ID
Devise montant actualisé global;Non renseigné;Non renseigné;Autorisation;Global Updated Amt Currency Cd;TEC_AUTORIZATION;GLOBL_UPDTD_AMT_CURY_CD
Identifiant du Tiers en risque;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Lignes d'autorisation;Risk Party Id;TEC_AUTORIZATION_LINE;RISK_PRTY_ID
